"time","anomaly"
19861029,1.12668,
19861105,1.06308,
19861112,0.956207,
19861119,1.00548,
19861126,1.07149,
19861203,1.14414,
19861210,1.04464,
19861217,1.00731,
19861224,1.05489,
19861231,1.15179,
19870107,1.207,
19870114,1.19954,
19870121,1.23124,
19870128,1.24852,
19870204,1.2781,
19870211,1.28475,
19870218,1.11157,
19870225,1.02156,
19870304,1.07926,
19870311,1.18171,
19870318,1.25827,
19870325,1.21706,
19870401,1.21379,
19870408,1.12956,
19870415,1.00014,
19870422,0.959495,
19870429,0.908353,
19870506,0.793056,
19870513,0.733193,
19870520,0.894355,
19870527,1.04902,
19870603,1.09263,
19870610,1.21461,
19870617,1.42587,
19870624,1.60759,
19870701,1.58065,
19870708,1.57396,
19870715,1.57572,
19870722,1.46856,
19870729,1.34148,
19870805,1.45143,
19870812,1.58857,
19870819,1.71824,
19870826,1.84033,
19870902,1.75461,
19870909,1.61433,
19870916,1.59294,
19870923,1.58667,
19870930,1.40184,
19871007,1.25669,
19871014,1.29789,
19871021,1.35033,
19871028,1.26765,
19871104,1.22966,
19871111,1.2972,
19871118,1.32022,
19871125,1.32051,
19871202,1.19172,
19871209,1.08281,
19871216,1.04128,
19871223,0.834386,
19871230,0.716595,
19880106,0.765606,
19880113,0.70146,
19880120,0.574951,
19880127,0.464185,
19880203,0.523199,
19880210,0.438677,
19880217,0.377443,
19880224,0.248728,
19880302,0.148924,
19880309,0.252901,
19880316,0.212841,
19880323,-0.220127,
19880330,-0.339414,
19880406,-0.201653,
19880413,-0.267173,
19880420,-0.584416,
19880427,-0.776597,
19880504,-0.986856,
19880511,-1.29554,
19880518,-1.54753,
19880525,-1.69234,
19880601,-1.47358,
19880608,-1.49741,
19880615,-1.51203,
19880622,-1.55289,
19880629,-1.62583,
19880706,-1.62222,
19880713,-1.7235,
19880720,-1.74175,
19880727,-1.80969,
19880803,-1.79774,
19880810,-1.72752,
19880817,-1.6858,
19880824,-1.65704,
19880831,-1.34157,
19880907,-1.18408,
19880914,-1.26688,
19880921,-1.34928,
19880928,-1.78181,
19881005,-2.04183,
19881012,-2.01823,
19881019,-2.16477,
19881026,-2.34802,
19881102,-2.50724,
19881109,-2.44001,
19881116,-2.29602,
19881123,-2.39454,
19881130,-2.58591,
19881207,-2.5747,
19881214,-2.42263,
19881221,-2.12696,
19881228,-1.96735,
19890104,-2.23133,
19890111,-2.20101,
19890118,-2.18148,
19890125,-2.16558,
19890201,-1.78266,
19890208,-1.70967,
19890215,-1.51506,
19890222,-1.26006,
19890301,-1.37378,
19890308,-1.40678,
19890315,-1.37229,
19890322,-1.41427,
19890329,-1.29845,
19890405,-1.17695,
19890412,-1.11729,
19890419,-1.07334,
19890426,-0.970524,
19890503,-0.812573,
19890510,-0.66422,
19890517,-0.720382,
19890524,-0.883433,
19890531,-0.956484,
19890607,-0.904581,
19890614,-0.520873,
19890621,-0.457976,
19890628,-0.625677,
19890705,-0.600169,
19890712,-0.593373,
19890719,-0.5028,
19890726,-0.484649,
19890802,-0.584686,
19890809,-0.572428,
19890816,-0.649567,
19890823,-0.629147,
19890830,-0.536781,
19890906,-0.614223,
19890913,-0.610633,
19890920,-0.497127,
19890927,-0.392746,
19891004,-0.487737,
19891011,-0.579393,
19891018,-0.573641,
19891025,-0.455028,
19891101,-0.452479,
19891108,-0.646899,
19891115,-0.643803,
19891122,-0.280664,
19891129,-0.182105,
19891206,-0.204829,
19891213,-0.309125,
19891220,-0.344261,
19891227,-0.203332,
19900103,-0.0936862,
19900110,-0.0398429,
19900117,-0.227678,
19900124,-0.242991,
19900131,-0.0388387,
19900207,0.0404349,
19900214,0.0784649,
19900221,0.194448,
19900228,0.202046,
19900307,0.163866,
19900314,0.055713,
19900321,0.22397,
19900328,0.267147,
19900404,0.314304,
19900411,0.19732,
19900418,0.16472,
19900425,0.345546,
19900502,0.274195,
19900509,0.218287,
19900516,0.135268,
19900523,0.214253,
19900530,0.110037,
19900606,-0.000527976,
19900613,-0.0110283,
19900620,-0.0850237,
19900627,-0.236079,
19900704,-0.187571,
19900711,-0.155324,
19900718,0.0914996,
19900725,0.0717818,
19900801,0.0263283,
19900808,0.210212,
19900815,0.133605,
19900822,0.108355,
19900829,0.0991802,
19900905,-0.0816384,
19900912,-0.0992476,
19900919,-0.0106423,
19900926,-0.027825,
19901003,0.135632,
19901010,0.235262,
19901017,0.178822,
19901024,0.271509,
19901031,0.172048,
19901107,0.229086,
19901114,-0.0179237,
19901121,-0.087868,
19901128,-0.133311,
19901205,0.263558,
19901212,0.214539,
19901219,0.322407,
19901226,0.355723,
19910102,0.292788,
19910109,0.351676,
19910116,0.360266,
19910123,0.35481,
19910130,0.238676,
19910206,0.191552,
19910213,0.177179,
19910220,0.00822811,
